Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR13060060_1	55.67517595133007	34.64153644280088
SRR13060060_2	37.853393773112245	39.082070857688066
SRR13060061_1	42.96003717472119	47.17451915306287
SRR13060061_2	31.832875383869403	47.166437691934746
SRR13060062_1	25.087304847986854	62.548788003286774
SRR13060062_2	19.153142974527526	58.09110517666399
SRR13060065_1	19.25086835435116	67.65340926870488
SRR13060065_2	13.43680570766968	60.19651406577589
SRR13060066_1	45.03971119133574	45.16967509025277
SRR13060066_2	33.123465703971114	44.66714801444052
SRR13060067_1	20.068173210453224	70.13508395404621
SRR13060067_2	13.841686655725288	57.60888776669609
SRR13060068_1	35.75950996036445	54.44741854120553
SRR13060068_2	29.060071035157254	45.658104699644824
SRR13060069_1	74.68401979847977	18.278239349478497
SRR13060069_2	54.973926109245184	26.741205585999637
SRR13060070_1	42.83832501386578	48.22055832871143
SRR13060070_2	33.38648548715105	48.627287853577414
SRR13060071_1	52.14171337069655	40.92607419268745
SRR13060071_2	20.519749132639443	54.19335468374699
SRR13060072_1	37.37280105466979	50.58913195731881
SRR13060072_2	25.19672063609772	47.59815432785402
SRR13060073_1	37.64853594009237	50.76902381059146
SRR13060073_2	27.51894533877405	45.45087664230303
SRR13060074_1	51.64402283141732	39.623362006592174
SRR13060074_2	33.77683093496262	43.58067368759545
SRR13060076_1	22.667979325621463	66.7511690868816
SRR13060076_2	9.586512429239479	45.941422594142225
SRR13060077_1	50.775753768844226	41.306532663316545
SRR13060077_2	35.53706030150754	38.59924623115573
SRR13060078_1	48.11374330683108	41.72886581210447
SRR13060078_2	32.68294661690735	43.58064254421553
SRR13060079_1	29.5959595959596	59.490460157126805
SRR13060079_2	22.78114478114478	57.153759820426544
SRR13060080_1	29.042281400326836	60.37470941607011
SRR13060080_2	18.859760167560477	51.47190830206915
SRR13060081_1	15.232052356438805	71.0942176463546
SRR13060081_2	9.212259068598108	60.88431302126981
SRR13060082_1	34.20996020221577	55.27858448962036
SRR13060082_2	14.733247284070131	51.51930730343122
SRR13060083_1	22.529542288043757	64.03323184890863
SRR13060083_2	24.913566231487692	50.72501161050623
SRR13060084_1	35.51372204316828	52.39281179802722
SRR13060084_2	23.28840707100303	49.543412442621296
SRR13060085_1	24.892636099532652	65.13199444233926
SRR13060085_2	14.674118984463814	54.468232916508796
SRR13060087_1	28.881042250091323	60.30926579812497
SRR13060087_2	21.049555582612932	53.675879702910045
SRR13060088_1	31.767155054284814	57.38905871192155
SRR13060088_2	18.23811531569516	58.85422156635395
SRR13060089_1	25.75474872296822	64.44804698253448
SRR13060089_2	11.21952711589637	58.63946410546593
SRR13060090_1	39.695915474809944	49.48846798093029
SRR13060090_2	29.527122793454453	49.42662028089164
SRR13060091_1	65.39730547154248	27.458528090917397
SRR13060091_2	53.21922830171386	30.8977178993676
SRR13060188_1	62.24252229500434	30.035119564359555
SRR13060188_2	38.680846026359404	43.93496961565786
SRR13060189_1	21.930337551755596	65.11263421366583
SRR13060189_2	14.34653442185782	60.46691150670194
SRR13060190_1	47.748299736535756	44.2007229949145
SRR13060190_2	27.081673917039396	48.03627228723731
SRR13060191_1	39.164919318078226	52.03300209681827
SRR13060191_2	28.999908833986687	47.502051235299454
SRR13060192_1	55.045955378515174	35.05947704058323
SRR13060192_2	34.37973943391744	43.85952089462243
SRR13060193_1	60.709345721220345	31.52908630633921
SRR13060193_2	39.828274656157845	42.341519430018025
SRR13060195_1	39.312848927507034	51.200520505393925
SRR13060195_2	29.055954329849303	50.917180875624425
SRR13060196_1	45.90025795356836	43.078245915735195
SRR13060196_2	38.010318142734306	40.40240756663796
SRR13060197_1	71.86558992608815	21.732137968792742
SRR13060197_2	37.87298111141528	43.56693128935117
SRR13060198_1	46.98856850366832	41.571404197235964
SRR13060198_2	34.482170278109535	42.606494909856096
SRR13060199_1	40.76868030293995	47.549048840121664
SRR13060199_2	21.035839942751505	35.8518695211402
SRR13060200_1	44.56579933611736	43.587107827390504
SRR13060200_2	29.45497376592783	39.72159760145631
SRR13060201_1	20.640144905126903	65.15429303527644
SRR13060201_2	13.80795652846193	52.74016478540348
SRR13060202_1	26.306238781830015	59.756602694333196
SRR13060202_2	22.818990512633384	51.387601333359605
SRR13060203_1	20.656832954339645	63.93858289899987
SRR13060203_2	18.578069345783106	54.97957458797018
SRR13060204_1	16.4183300534158	67.63424233904978
SRR13060204_2	9.535188829538	44.87395745478398
SRR13060206_1	30.837319962137688	56.46857172094447
SRR13060206_2	25.078666632556473	47.73465680882093
SRR13060207_1	36.972155229116424	50.54154790616086
SRR13060207_2	28.552948914711685	46.65424249068189
SRR13060208_1	32.179131144039	54.95504243295205
SRR13060208_2	25.56463985396073	48.87072029207856
SRR13060209_1	34.35648196278199	53.22278823162491
SRR13060209_2	25.956440378417717	47.36718993658386
SRR13060210_1	35.442689704506684	52.27168510060712
SRR13060210_2	26.788825913901576	45.72717768117542
SRR13060211_1	23.935143482177327	62.39008278642814
SRR13060211_2	19.073049371595246	48.054733410543506
SRR13060212_1	34.8	53.045569620253175
SRR13060212_2	19.425316455696205	40.06835443037975
SRR13060213_1	33.04760484993043	54.08467501490755
SRR13060213_2	28.24239713774597	46.10912343470477
SRR13060214_1	31.043807463493778	56.155532151091634
SRR13060214_2	21.243346332299108	41.091913125160104
SRR13060215_1	39.27998690885289	48.94452626411386
SRR13060215_2	26.961217476681394	38.808705612829286
SRR13060217_1	36.391090977727444	51.20530658469505
SRR13060217_2	22.74712829639217	39.91263549587444
SRR13060218_1	27.261671243624953	59.903883876029816
SRR13060218_2	23.49156531973323	53.95056885052966
SRR13060219_1	29.306842190801234	57.70762229806596
SRR13060219_2	19.677393141556966	47.73687632049406
SRR13060221_1	27.443754100258555	58.93759888858878
SRR13060221_2	22.154902944468027	51.12491799482887
SRR13060222_1	49.296392412003364	40.235388720348006
SRR13060222_2	39.149822727438874	40.7434482254469
SRR13060223_1	37.46913435082191	50.59144462996492
SRR13060223_2	26.82077934294382	42.89678526914845
SRR13060224_1	32.04031765424557	55.508043168397464
SRR13060224_2	20.433720219914477	43.43819995927507
SRR13060225_1	25.495282477445418	62.53070407015451
SRR13060225_2	16.59282385620165	51.24308441036706
SRR13060226_1	43.773376509275295	44.64693626528103
SRR13060226_2	34.877124281446896	44.1875643246229
SRR13060228_1	36.97001717078325	50.43983621714436
SRR13060228_2	27.991018359529786	46.78642187293619
SRR13060229_1	48.14401214990843	40.22870415866348
SRR13060229_2	38.13373833028096	41.4972975387502
SRR13060230_1	37.08402929461647	49.93896954901709
SRR13060230_2	28.27315945008351	46.69150713092638
SRR13060231_1	29.42434947012289	59.251704064878794
SRR13060231_2	23.254888302900643	48.12926016219711
SRR13060232_1	36.45152995628697	50.655695551555645
SRR13060232_2	26.618668038056054	44.85214708151197
SRR13060233_1	40.48391856004721	47.62171732074365
SRR13060233_2	32.009442313366776	45.205075243434635
SRR13060234_1	42.290285714285716	44.493714285714304
SRR13060234_2	35.61828571428571	43.10628571428568
SRR13060235_1	24.940959030701304	61.22291816408256
SRR13060235_2	19.86600266967861	56.3533216962727
SRR13060236_1	13.680533346453789	70.15670742207683
SRR13060236_2	9.636153410908017	57.44052744224951
SRR13060237_1	34.29278223001005	52.19161491483496
SRR13060237_2	26.3225706702399	46.589532816244514
SRR13060240_1	21.825777948520937	63.808586246638455
SRR13060240_2	17.92883211678832	55.50566653860928
SRR13060241_1	21.517091107176903	63.79058773175618
SRR13060241_2	17.59498842434972	58.62726406101051
SRR13060242_1	17.9304897314376	66.84139977978836
SRR13060242_2	14.548326870601752	59.0214945665182
SRR13060243_1	19.679939930074852	65.92674284909775
SRR13060243_2	15.873947016448836	59.63817256024585
SRR13060244_1	14.375434582688468	69.63640849651216
SRR13060244_2	10.073346342776395	55.76565058430334
SRR13060245_1	25.318524263239528	60.77996897850656
SRR13060245_2	19.651562153777974	55.279193441169966
SRR13060246_1	15.512571660723154	68.34288809642031
SRR13060246_2	8.791134383604929	50.53491626416286
SRR13060313_1	44.38302073050345	45.11352418558739
SRR13060313_2	29.079114370328586	44.58327457340289
SRR13060314_1	17.127688710051192	70.62801525270189
SRR13060314_2	10.735879663766406	55.874607622137496
SRR13060315_1	17.372520576456118	71.78266216770203
SRR13060315_2	10.772287218946106	59.48093721421587
SRR13060316_1	64.26897635926794	29.840121021564386
SRR13060316_2	35.17930768546258	47.02933586450329
SRR13060317_1	34.855455606674454	59.101833413445036
SRR13060317_2	25.654054796401844	49.22749433495847
SRR13060318_1	33.458669415974285	55.6856085875432
SRR13060318_2	15.028200618594214	60.24622475589791
SRR13060319_1	25.647811903736073	62.47307195174494
SRR13060319_2	23.130424078291377	55.57333661599062
SRR13060320_1	35.97186133468534	54.77216553647257
SRR13060320_2	27.28943532543254	53.70745928132334
SRR13060322_1	47.5355524300672	44.87576183778715
SRR13060322_2	34.84606969839037	46.07282387873109
SRR13060323_1	59.68573446327684	33.866525423728795
SRR13060323_2	42.86370056497175	37.1115819209039
SRR13060324_1	19.474531910610025	66.66398228306828
SRR13060324_2	7.042480370444936	65.5103684316489
SRR13060325_1	37.525154457193295	53.82171226831424
SRR13060325_2	28.872021182700795	51.42453662842017
SRR13060326_1	74.52231310993905	19.082209518996976
SRR13060326_2	54.805293244480936	27.609512680415648
SRR13060327_1	14.570166288273914	74.00748604037553
SRR13060327_2	12.035957538197215	69.68767257777507
SRR13060328_1	18.53033220991815	67.18825228695226
SRR13060328_2	7.047424169475204	59.29525758305249
SRR13060329_1	25.587186874359098	64.12422481566483
SRR13060329_2	16.93197910054202	53.921089896967615
SRR13060330_1	30.483714997016648	61.294570294014775
SRR13060330_2	22.630290311297657	57.28041478921055
SRR13060331_1	23.222110700384345	65.35778109623243
SRR13060331_2	13.586623907561995	46.34629978702049
SRR13060333_1	35.030837004405285	53.21585903083701
SRR13060333_2	27.00314663310258	44.10824417872873
SRR13060334_1	23.22641435357858	63.25232617486553
SRR13060334_2	17.474775234580502	57.810843704605205
SRR13060335_1	41.89155422288856	51.02698650674664
SRR13060335_2	26.40679660169915	50.587206396801584
SRR13060336_1	59.14575954870316	31.692575233813336
SRR13060336_2	40.459779865544085	35.83229062837996
SRR13060337_1	35.955689532632405	51.108987084283044
SRR13060337_2	29.688993456363505	47.535720412714724
SRR13060338_1	45.60014918260365	43.73536663696829
SRR13060338_2	34.00327372935789	42.64757681868097
SRR13060339_1	46.613959934484065	46.48481794128764
SRR13060339_2	33.65566334887237	50.57956406702785
SRR13060340_1	14.384920634920634	72.8313030638612
SRR13060340_2	10.818106312292358	65.38159837578444
SRR13060341_1	27.11113014798792	60.39663332833614
SRR13060341_2	22.85781594671578	48.92596320647636
SRR13060342_1	31.202196509119435	55.61286526769949
SRR13060342_2	26.163953716414984	49.95489311629727
SRR13060344_1	45.5429648416595	43.85368918258605
SRR13060344_2	29.811294413290828	40.642669334760456
SRR13060345_1	64.25148384260278	28.410639701033205
SRR13060345_2	48.08529347109255	34.77247746757531
SRR13060346_1	44.13196452670137	44.65249662618085
SRR13060346_2	29.81492192018508	44.46693657219972
