Sample	Unique Reads	Duplicate Reads
SRR13060060_1	1192.0	32340.0
SRR13060060_2	3978.0	29554.0
SRR13060061_1	2279.0	96713.0
SRR13060061_2	7631.0	91361.0
SRR13060062_1	1825.0	37119.0
SRR13060062_2	4391.0	34553.0
SRR13060065_1	1741.0	30216.0
SRR13060065_2	4384.0	27573.0
SRR13060066_1	1261.0	33364.0
SRR13060066_2	4007.0	30618.0
SRR13060067_1	1296.0	38309.0
SRR13060067_2	5700.0	33905.0
SRR13060068_1	1299.0	37555.0
SRR13060068_2	4931.0	33923.0
SRR13060069_1	1016.0	44240.0
SRR13060069_2	4230.0	41026.0
SRR13060070_1	1153.0	42119.0
SRR13060070_2	3461.0	39811.0
SRR13060071_1	670.0	29306.0
SRR13060071_2	4088.0	25888.0
SRR13060072_1	1897.0	46649.0
SRR13060072_2	6248.0	42298.0
SRR13060073_1	1636.0	42966.0
SRR13060073_2	6022.0	38580.0
SRR13060074_1	1256.0	48500.0
SRR13060074_2	5187.0	44569.0
SRR13060076_1	1563.0	39067.0
SRR13060076_2	10495.0	30135.0
SRR13060077_1	801.0	31039.0
SRR13060077_2	4626.0	27214.0
SRR13060078_1	1508.0	47796.0
SRR13060078_2	5577.0	43727.0
SRR13060079_1	1549.0	43001.0
SRR13060079_2	4060.0	40490.0
SRR13060080_1	1362.0	42085.0
SRR13060080_2	6742.0	36705.0
SRR13060081_1	2442.0	47676.0
SRR13060081_2	7336.0	42782.0
SRR13060082_1	1461.0	35727.0
SRR13060082_2	6779.0	30409.0
SRR13060083_1	1940.0	36818.0
SRR13060083_2	4502.0	34256.0
SRR13060084_1	1895.0	39061.0
SRR13060084_2	5814.0	35142.0
SRR13060085_1	1341.0	30327.0
SRR13060085_2	5480.0	26188.0
SRR13060087_1	1479.0	39586.0
SRR13060087_2	5209.0	35856.0
SRR13060088_1	1498.0	36450.0
SRR13060088_2	4368.0	33580.0
SRR13060089_1	1181.0	31512.0
SRR13060089_2	5408.0	27285.0
SRR13060090_1	1445.0	37360.0
SRR13060090_2	3870.0	34935.0
SRR13060091_1	862.0	42782.0
SRR13060091_2	3287.0	40357.0
SRR13060188_1	1291.0	49393.0
SRR13060188_2	3921.0	46763.0
SRR13060189_1	2018.0	40731.0
SRR13060189_2	5102.0	37647.0
SRR13060190_1	578.0	15743.0
SRR13060190_2	2463.0	13858.0
SRR13060191_1	762.0	21176.0
SRR13060191_2	2998.0	18940.0
SRR13060192_1	1687.0	53040.0
