Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR13060060_1	SRR13060060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33532.0	7.7 Mbp	0.0	230.0	54.0	3.554813312656567	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060060_2	SRR13060060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33532.0	5 Mbp	0.0	150.0	55.0	11.863294763211261	150.0	150	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060061_1	SRR13060061_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98992.0	22.7 Mbp	0.0	230.0	53.0	2.302206238887991	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060061_2	SRR13060061_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98992.0	14.8 Mbp	0.0	150.0	54.0	7.7087037336350415	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060062_1	SRR13060062_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38944.0	8.9 Mbp	0.0	230.0	53.0	4.686216105176664	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060062_2	SRR13060062_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38944.0	5.8 Mbp	0.0	150.0	55.0	11.275164338537387	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
SRR13060065_1	SRR13060065_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31957.0	7.3 Mbp	0.0	230.0	53.0	5.4448164721344305	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060065_2	SRR13060065_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31957.0	4.7 Mbp	0.0	150.0	55.0	13.71530494101449	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060066_1	SRR13060066_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34625.0	7.9 Mbp	0.0	230.0	53.0	3.6418772563176898	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060066_2	SRR13060066_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34625.0	5.1 Mbp	0.0	150.0	55.0	11.572563176895306	150.0	150	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060067_1	SRR13060067_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39605.0	9.1 Mbp	0.0	230.0	53.0	3.2723141017548287	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060067_2	SRR13060067_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39605.0	5.9 Mbp	0.0	150.0	55.0	14.392122206792072	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR13060068_1	SRR13060068_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38854.0	8.9 Mbp	0.0	230.0	53.0	3.3432851186493022	230.0	230	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR13060068_2	SRR13060068_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38854.0	5.8 Mbp	0.0	150.0	54.0	12.691100015442425	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060069_1	SRR13060069_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45256.0	10.4 Mbp	0.0	230.0	53.0	2.245006187024925	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060069_2	SRR13060069_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45256.0	6.7 Mbp	0.0	150.0	54.0	9.346826940074244	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060070_1	SRR13060070_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43272.0	9.9 Mbp	0.0	230.0	54.0	2.664540580513958	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060070_2	SRR13060070_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43272.0	6.4 Mbp	0.0	150.0	54.0	7.998243667960805	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR13060071_1	SRR13060071_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29976.0	6.8 Mbp	0.0	230.0	54.0	2.2351214304777156	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060071_2	SRR13060071_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29976.0	4.4 Mbp	0.0	150.0	56.0	13.634240725914065	150.0	150	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060072_1	SRR13060072_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48546.0	11.1 Mbp	0.0	230.0	53.0	3.9055740946730935	230.0	230	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR13060072_2	SRR13060072_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48546.0	7.2 Mbp	0.0	150.0	54.0	12.870267375272936	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
