Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR13060060_1	96.44518668734344	54.0	230.0	230	40.0	33532.0
SRR13060060_2	88.13670523678874	55.0	150.0	150	50.0	33532.0
SRR13060061_1	97.69779376111201	53.0	230.0	230	40.0	98992.0
SRR13060061_2	92.29129626636495	54.0	150.0	150	40.0	98992.0
SRR13060062_1	95.31378389482333	53.0	230.0	230	40.0	38944.0
SRR13060062_2	88.7248356614626	55.0	150.0	150	30.0	38944.0
SRR13060065_1	94.55518352786557	53.0	230.0	230	40.0	31957.0
SRR13060065_2	86.2846950589855	55.0	150.0	150	40.0	31957.0
SRR13060066_1	96.35812274368232	53.0	230.0	230	40.0	34625.0
SRR13060066_2	88.4274368231047	55.0	150.0	150	40.0	34625.0
SRR13060067_1	96.72768589824517	53.0	230.0	230	40.0	39605.0
SRR13060067_2	85.60787779320793	55.0	150.0	150	30.0	39605.0
SRR13060068_1	96.6567148813507	53.0	230.0	230	30.0	38854.0
SRR13060068_2	87.30889998455757	54.0	150.0	150	40.0	38854.0
SRR13060069_1	97.75499381297507	53.0	230.0	230	40.0	45256.0
SRR13060069_2	90.65317305992576	54.0	150.0	150	40.0	45256.0
SRR13060070_1	97.33545941948604	54.0	230.0	230	40.0	43272.0
SRR13060070_2	92.0017563320392	54.0	150.0	150	30.0	43272.0
SRR13060071_1	97.76487856952228	54.0	230.0	230	40.0	29976.0
SRR13060071_2	86.36575927408593	56.0	150.0	150	50.0	29976.0
SRR13060072_1	96.0944259053269	53.0	230.0	230	40.0	48546.0
SRR13060072_2	87.12973262472707	54.0	150.0	150	40.0	48546.0
SRR13060073_1	96.33200304919062	53.0	230.0	230	40.0	44602.0
SRR13060073_2	86.49836330209408	54.0	150.0	150	40.0	44602.0
SRR13060074_1	97.47568132486535	52.0	230.0	230	40.0	49756.0
SRR13060074_2	89.57512661789534	53.0	150.0	150	30.0	49756.0
SRR13060076_1	96.153088850603	53.0	230.0	230	40.0	40630.0
SRR13060076_2	74.1693330051686	54.0	150.0	150	40.0	40630.0
SRR13060077_1	97.48429648241206	55.0	230.0	230	40.0	31840.0
SRR13060077_2	85.47110552763819	57.0	150.0	150	50.0	31840.0
SRR13060078_1	96.94142463086159	53.0	230.0	230	40.0	49304.0
SRR13060078_2	88.68854453999676	55.0	150.0	150	40.0	49304.0
SRR13060079_1	96.5230078563412	53.0	230.0	230	40.0	44550.0
SRR13060079_2	90.88664421997755	55.0	150.0	150	40.0	44550.0
SRR13060080_1	96.86514604000276	54.0	230.0	230	40.0	43447.0
SRR13060080_2	84.48224273252468	55.0	150.0	150	50.0	43447.0
SRR13060081_1	95.12949439323197	52.0	230.0	230	40.0	50118.0
SRR13060081_2	85.36254439522726	54.0	150.0	150	40.0	50118.0
SRR13060082_1	96.07131332687963	51.0	230.0	230	40.0	37188.0
SRR13060082_2	81.77100139830053	52.0	150.0	150	40.0	37188.0
SRR13060083_1	94.9945817637649	52.0	230.0	230	40.0	38758.0
SRR13060083_2	88.38433355694309	53.0	150.0	150	40.0	38758.0
SRR13060084_1	95.37308330891689	52.0	230.0	230	40.0	40956.0
SRR13060084_2	85.80427776150015	53.0	150.0	150	40.0	40956.0
SRR13060085_1	95.76859921687507	52.0	230.0	230	40.0	31668.0
SRR13060085_2	82.69862321586459	53.0	150.0	150	40.0	31668.0
SRR13060087_1	96.39839279191526	52.0	230.0	230	40.0	41065.0
SRR13060087_2	87.3152319493486	53.0	150.0	150	40.0	41065.0
SRR13060088_1	96.05249288500053	51.0	230.0	230	40.0	37948.0
SRR13060088_2	88.48951196373986	52.0	150.0	150	40.0	37948.0
SRR13060089_1	96.39066466827761	51.0	230.0	230	40.0	32693.0
SRR13060089_2	83.45823264919096	53.0	150.0	150	40.0	32693.0
SRR13060090_1	96.27625306017266	52.0	230.0	230	40.0	38805.0
SRR13060090_2	90.02705836876692	53.0	150.0	150	40.0	38805.0
SRR13060091_1	98.02492897076345	56.0	230.0	230	40.0	43644.0
SRR13060091_2	92.46860965997617	57.0	150.0	150	50.0	43644.0
SRR13060188_1	97.45481808854865	53.0	230.0	230	30.0	50684.0
SRR13060188_2	92.26383079472812	54.0	150.0	150	40.0	50684.0
SRR13060189_1	95.27942174085943	52.0	230.0	230	30.0	42749.0
SRR13060189_2	88.06521789983391	54.0	150.0	150	40.0	42749.0
SRR13060190_1	96.45855033392561	53.0	230.0	230	40.0	16321.0
SRR13060190_2	84.9090129281294	56.0	150.0	150	50.0	16321.0
SRR13060191_1	96.52657489287994	54.0	230.0	230	40.0	21938.0
SRR13060191_2	86.33421460479533	56.0	150.0	150	40.0	21938.0
SRR13060192_1	96.91742649880315	53.0	230.0	230	40.0	54727.0
SRR13060192_2	90.2680578142416	54.0	150.0	150	40.0	54727.0
SRR13060193_1	96.98306234830493	53.0	230.0	230	40.0	38317.0
SRR13060193_2	91.91742568572697	54.0	150.0	150	40.0	38317.0
SRR13060195_1	97.33031104394912	53.0	230.0	230	40.0	47646.0
SRR13060195_2	91.3843764429333	56.0	150.0	150	50.0	47646.0
SRR13060196_1	96.48495270851247	53.0	230.0	230	40.0	58150.0
SRR13060196_2	90.53998280309544	54.0	150.0	150	40.0	58150.0
SRR13060197_1	97.90925266903915	55.0	230.0	230	40.0	29224.0
SRR13060197_2	90.16219545578976	57.0	150.0	150	50.0	29224.0
SRR13060198_1	95.50133651822783	53.0	230.0	230	40.0	35166.0
SRR13060198_2	88.32110561337656	54.0	150.0	150	40.0	35166.0
SRR13060199_1	95.25910907030831	53.0	230.0	230	40.0	33538.0
SRR13060199_2	73.45101079372651	54.0	150.0	150	40.0	33538.0
SRR13060200_1	95.82182246493201	53.0	230.0	230	30.0	46695.0
SRR13060200_2	84.041117892708	54.0	150.0	150	30.0	46695.0
SRR13060201_1	94.55943098230655	52.0	230.0	230	40.0	45271.0
SRR13060201_2	82.69753263678734	53.0	150.0	150	40.0	45271.0
SRR13060202_1	95.3628276691848	52.0	230.0	230	40.0	50699.0
SRR13060202_2	88.53034576618869	54.0	150.0	150	40.0	50699.0
SRR13060203_1	94.71152878675065	52.0	230.0	230	40.0	49693.0
SRR13060203_2	87.45296118165537	53.0	150.0	150	30.0	49693.0
SRR13060204_1	94.32808546527973	51.0	230.0	230	40.0	42684.0
SRR13060204_2	73.88717083684753	53.0	150.0	150	30.0	42684.0
SRR13060206_1	95.44373097290799	53.0	230.0	230	40.0	39089.0
