SRR13060060_1_filtered.fastq.gz	SRR13060061_1_filtered.fastq.gz	SRR13060062_1_filtered.fastq.gz	SRR13060065_1_filtered.fastq.gz	SRR13060066_1_filtered.fastq.gz	SRR13060067_1_filtered.fastq.gz	SRR13060068_1_filtered.fastq.gz	SRR13060069_1_filtered.fastq.gz	SRR13060070_1_filtered.fastq.gz	SRR13060071_1_filtered.fastq.gz	SRR13060072_1_filtered.fastq.gz	SRR13060073_1_filtered.fastq.gz	SRR13060074_1_filtered.fastq.gz	SRR13060076_1_filtered.fastq.gz	SRR13060077_1_filtered.fastq.gz	SRR13060078_1_filtered.fastq.gz	SRR13060079_1_filtered.fastq.gz	SRR13060080_1_filtered.fastq.gz	SRR13060081_1_filtered.fastq.gz	SRR13060082_1_filtered.fastq.gz	SRR13060083_1_filtered.fastq.gz	SRR13060084_1_filtered.fastq.gz	SRR13060085_1_filtered.fastq.gz	SRR13060087_1_filtered.fastq.gz	SRR13060088_1_filtered.fastq.gz	SRR13060089_1_filtered.fastq.gz	SRR13060090_1_filtered.fastq.gz	SRR13060091_1_filtered.fastq.gz	SRR13060188_1_filtered.fastq.gz	SRR13060189_1_filtered.fastq.gz	SRR13060190_1_filtered.fastq.gz	SRR13060191_1_filtered.fastq.gz	SRR13060192_1_filtered.fastq.gz	SRR13060193_1_filtered.fastq.gz	SRR13060195_1_filtered.fastq.gz	SRR13060196_1_filtered.fastq.gz	SRR13060197_1_filtered.fastq.gz	SRR13060198_1_filtered.fastq.gz	SRR13060199_1_filtered.fastq.gz	SRR13060200_1_filtered.fastq.gz	SRR13060201_1_filtered.fastq.gz	SRR13060202_1_filtered.fastq.gz	SRR13060203_1_filtered.fastq.gz	SRR13060204_1_filtered.fastq.gz	SRR13060206_1_filtered.fastq.gz	SRR13060207_1_filtered.fastq.gz	SRR13060208_1_filtered.fastq.gz	SRR13060209_1_filtered.fastq.gz	SRR13060210_1_filtered.fastq.gz	SRR13060211_1_filtered.fastq.gz	SRR13060212_1_filtered.fastq.gz	SRR13060213_1_filtered.fastq.gz	SRR13060214_1_filtered.fastq.gz	SRR13060215_1_filtered.fastq.gz	SRR13060217_1_filtered.fastq.gz	SRR13060218_1_filtered.fastq.gz	SRR13060219_1_filtered.fastq.gz	SRR13060221_1_filtered.fastq.gz	SRR13060222_1_filtered.fastq.gz	SRR13060223_1_filtered.fastq.gz	SRR13060224_1_filtered.fastq.gz	SRR13060225_1_filtered.fastq.gz	SRR13060226_1_filtered.fastq.gz	SRR13060228_1_filtered.fastq.gz	SRR13060229_1_filtered.fastq.gz	SRR13060230_1_filtered.fastq.gz	SRR13060231_1_filtered.fastq.gz	SRR13060232_1_filtered.fastq.gz	SRR13060233_1_filtered.fastq.gz	SRR13060234_1_filtered.fastq.gz	SRR13060235_1_filtered.fastq.gz	SRR13060236_1_filtered.fastq.gz	SRR13060237_1_filtered.fastq.gz	SRR13060240_1_filtered.fastq.gz	SRR13060241_1_filtered.fastq.gz	SRR13060242_1_filtered.fastq.gz	SRR13060243_1_filtered.fastq.gz	SRR13060244_1_filtered.fastq.gz	SRR13060245_1_filtered.fastq.gz	SRR13060246_1_filtered.fastq.gz	SRR13060313_1_filtered.fastq.gz	SRR13060314_1_filtered.fastq.gz	SRR13060315_1_filtered.fastq.gz	SRR13060316_1_filtered.fastq.gz	SRR13060317_1_filtered.fastq.gz	SRR13060318_1_filtered.fastq.gz	SRR13060319_1_filtered.fastq.gz	SRR13060320_1_filtered.fastq.gz	SRR13060322_1_filtered.fastq.gz	SRR13060323_1_filtered.fastq.gz	SRR13060324_1_filtered.fastq.gz	SRR13060325_1_filtered.fastq.gz	SRR13060326_1_filtered.fastq.gz	SRR13060327_1_filtered.fastq.gz	SRR13060328_1_filtered.fastq.gz	SRR13060329_1_filtered.fastq.gz	SRR13060330_1_filtered.fastq.gz	SRR13060331_1_filtered.fastq.gz	SRR13060333_1_filtered.fastq.gz	SRR13060334_1_filtered.fastq.gz	SRR13060335_1_filtered.fastq.gz	SRR13060336_1_filtered.fastq.gz	SRR13060337_1_filtered.fastq.gz	SRR13060338_1_filtered.fastq.gz	SRR13060339_1_filtered.fastq.gz	SRR13060340_1_filtered.fastq.gz	SRR13060341_1_filtered.fastq.gz	SRR13060342_1_filtered.fastq.gz	SRR13060344_1_filtered.fastq.gz	SRR13060345_1_filtered.fastq.gz	SRR13060346_1_filtered.fastq.gz	SRR13060347_1_filtered.fastq.gz	SRR13060348_1_filtered.fastq.gz	SRR13060349_1_filtered.fastq.gz	SRR13060350_1_filtered.fastq.gz	SRR13060351_1_filtered.fastq.gz	SRR13060352_1_filtered.fastq.gz	SRR13060353_1_filtered.fastq.gz	SRR13060355_1_filtered.fastq.gz	SRR13060356_1_filtered.fastq.gz	SRR13060357_1_filtered.fastq.gz	SRR13060358_1_filtered.fastq.gz	SRR13060359_1_filtered.fastq.gz	SRR13060360_1_filtered.fastq.gz	SRR13060361_1_filtered.fastq.gz	SRR13060362_1_filtered.fastq.gz	SRR13060363_1_filtered.fastq.gz	SRR13060364_1_filtered.fastq.gz	SRR13060366_1_filtered.fastq.gz	SRR13060367_1_filtered.fastq.gz	SRR13060368_1_filtered.fastq.gz	SRR13060369_1_filtered.fastq.gz	SRR13060370_1_filtered.fastq.gz	SRR13060371_1_filtered.fastq.gz	SRR13060372_1_filtered.fastq.gz	SRR13060373_1_filtered.fastq.gz	SRR13060374_1_filtered.fastq.gz	SRR13060377_1_filtered.fastq.gz	SRR13060378_1_filtered.fastq.gz	SRR13060379_1_filtered.fastq.gz	SRR13060380_1_filtered.fastq.gz	SRR13060381_1_filtered.fastq.gz	SRR13060382_1_filtered.fastq.gz	SRR13060383_1_filtered.fastq.gz	SRR13060384_1_filtered.fastq.gz	SRR13060385_1_filtered.fastq.gz	SRR13060386_1_filtered.fastq.gz	SRR13060387_1_filtered.fastq.gz	SRR13060388_1_filtered.fastq.gz	SRR13060390_1_filtered.fastq.gz	SRR13060391_1_filtered.fastq.gz	SRR13060392_1_filtered.fastq.gz	SRR13060393_1_filtered.fastq.gz	SRR13060394_1_filtered.fastq.gz	SRR13060395_1_filtered.fastq.gz	SRR13060396_1_filtered.fastq.gz	SRR13060397_1_filtered.fastq.gz	SRR13060398_1_filtered.fastq.gz	SRR13060399_1_filtered.fastq.gz	SRR13060401_1_filtered.fastq.gz	SRR13060402_1_filtered.fastq.gz	SRR13060403_1_filtered.fastq.gz	SRR13060404_1_filtered.fastq.gz	SRR13060405_1_filtered.fastq.gz	SRR13060406_1_filtered.fastq.gz	SRR13060407_1_filtered.fastq.gz	SRR13060408_1_filtered.fastq.gz	SRR13060409_1_filtered.fastq.gz	SRR13060410_1_filtered.fastq.gz	SRR13060412_1_filtered.fastq.gz	SRR13060413_1_filtered.fastq.gz	SRR13060414_1_filtered.fastq.gz	SRR13060415_1_filtered.fastq.gz
ASV_0001	0	19	1154	0	0	0	3868	15000	3540	0	2753	4952	2592	1426	0	1185	583	89	0	0	0	5	0	0	0	0	3671	0	8216	1770	0	387	7076	10306	0	13219	0	1177	594	2303	962	1051	912	430	583	1918	1102	1076	2170	394	528	2068	994	1633	664	2462	1459	874	2155	2141	3141	2527	2801	1787	2092	2002	592	2792	2734	3176	1713	580	2190	1157	1350	761	965	566	1104	436	0	1174	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1329	97	809	0	86	529	157	0	646	2507	4100	0	0	8693	1683	5060	9911	0	1039	0	0	0	0	77	179	991	583	0	0	3787	4944	4188	3960	0	0	3251	0	5405	0	1815	0	0	0	0	0	0	1771	742	1170	1443	443	0	711	2099	3801	400	0	0	4985	301	2451	6111	0	17	711	185	1315	2225	0	1430	2843	4146	0	0	3092	1603
ASV_0002	10218	24812	5646	3529	9121	4405	2910	0	11108	0	0	15	102	0	0	0	0	0	0	0	0	0	1112	0	2644	2995	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	129	0	17	52	90	133	170	1105	83	20	17	28	48	42	39	118	114	86	84	101	47	0	0	0	0	0	271	1203	6769	8678	0	0	0	0	0	0	0	507	2208	4693	3434	188	15575	8823	12494	6505	0	1465	0	0	0	0	0	0	0	0	0	0	56	0	0	0	958	0	3607	0	0	3865	194	448	781	0	52	3853	2709	466	0	0	0	5200	23	0	4004	0	88	53	0	0	0	0	569	745	82	409	0	0	38	6843	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0003	0	0	0	0	0	0	3051	5753	3046	0	3661	871	6977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2932	24	14	0	4656	0	0	2007	0	4649	2765	3369	1577	3121	2139	949	2362	3476	2754	2513	4336	1644	2287	2053	1538	2650	1107	2314	1866	2315	2033	2151	654	698	2238	1758	1721	1697	415	1919	2311	3661	1570	707	2366	1477	2286	1538	1720	1130	1665	1266	0	0	0	0	0	837	2880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	310	8	224	942	1621	0	0	0	0	0	1447	0	987	0	0	254	0	170	37	0	761	0	0	1621	1985	3147	2921	0	0	1404	0	2298	0	5635	0	0	0	0	0	0	0	1832	694	3506	596	0	1047	3248	3733	1073	0	0	1068	0	0	0	0	0	0	0	0	301	0	0	0	124	0	1617	9297	1954
ASV_0004	577	4331	53	2679	867	835	0	0	0	3253	0	0	587	94	469	23	127	0	211	66	27	412	5	8	47	85	0	1043	648	68	2685	3570	141	675	7530	486	6154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	174	241	157	2176	40	0	4788	193	98	0	495	255	196	2207	37	2391	5747	19	8	478	5088	698	23	26	1728	140	90	0	427	0	249	969	923	0	1825	12	853	2978	5	1040	330	177	112	62	3629	4324	42	16	0	0	588	603	0	538	0	170	0	160	468	741	129	3413	1363	1595	82	12	0	0	4607	7	0	0	0	504	345	21	1574	3491	312	1860	76	0	0	0	0	654	19	67	0	349	31	12	23
ASV_0005	0	0	0	0	0	0	0	0	0	0	0	0	0	3157	4032	17126	10292	8438	0	0	0	0	0	0	0	0	0	0	1666	0	0	210	237	165	2531	1150	0	19	6	42	72	300	283	124	36	0	0	5	17	172	38	72	0	0	0	38	28	128	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10924	5403	3772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	4813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	1277	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1484	0	0	0	0	0	0	0	0	0	0	7999	0	0	0	0	0	168	0
ASV_0006	0	8	107	0	0	0	1725	0	72	0	1124	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425	171	0	0	0	0	0	0	0	464	289	285	799	689	711	452	232	1536	1254	696	1611	3289	1195	1175	673	458	312	1931	1381	1093	53	858	213	377	105	674	33	126	276	560	644	422	269	741	498	1033	377	717	627	811	155	584	0	1214	0	0	0	29	0	0	0	0	8	0	0	0	0	0	0	933	262	85	0	0	0	0	0	642	661	856	0	0	772	1652	2089	265	0	3603	0	0	0	0	64	0	0	16	0	0	281	1458	1336	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	123	180	30	0	393	560	739	947	0	0	251	0	5839	0	0	4157	2809	2613	161	1235	0	4174	2523	3159	0	19	456	1127
ASV_0007	0	0	164	0	0	0	0	0	0	0	1239	274	21	0	0	0	0	0	0	0	0	0	0	6674	0	0	0	0	282	0	0	0	0	0	0	1434	0	342	256	441	437	741	583	475	561	262	170	689	1210	878	271	885	348	462	117	559	263	434	1365	1814	1521	5144	2226	1932	910	1601	982	1446	1417	1705	2899	1778	1423	1927	4416	2264	2768	1900	1201	724	0	849	0	0	0	0	0	0	0	0	0	0	0	0	996	0	0	0	0	0	0	0	181	140	0	656	214	750	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	499	0	0	6309	1320	2223	1828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	191	1359	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	549	0	0	94	0
ASV_0008	0	0	115	0	0	0	707	987	1656	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	1621	0	0	0	0	0	0	0	531	249	861	452	1086	635	730	877	717	370	610	1299	510	370	733	384	385	124	1262	401	580	1241	1109	1746	1142	1925	1034	904	952	598	1552	1296	1565	2711	1688	1508	785	3147	1620	3188	2387	2012	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	48	1368	263	0	187	272	576	0	0	59	286	582	438	0	973	0	0	0	0	121	2255	2678	2602	0	0	207	2333	1418	1378	0	117	726	0	2783	0	0	0	0	0	0	0	0	0	77	89	668	57	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	2204	0	0	0	1330	0	262	0	1228
ASV_0009	0	1055	0	0	63	757	0	0	0	3769	0	0	0	109	0	0	0	0	0	0	0	0	627	0	0	0	0	15820	0	0	0	0	0	0	1403	0	4183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	164	0	0	916	717	0	0	5085	3556	2979	0	164	79	113	0	295	204	0	0	0	1706	54	0	0	1175	0	0	0	128	0	0	0	0	0	726	0	1066	0	0	0	349	0	0	0	0	2109	83	0	0	0	11927	127	0	3888	0	91	0	4769	122	1562	0	7096	0	0	0	0	0	0	216	0	0	0	0	38	248	0	485	0	0	1893	99	0	0	0	0	0	0	0	0	204	0	0	0
ASV_0010	60	2203	0	0	252	747	0	0	0	121	0	0	0	606	8972	378	5307	6761	0	0	0	0	0	0	0	0	0	0	0	0	1155	45	25	0	136	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	330	0	0	50	788	1978	7998	0	0	0	113	0	59	0	0	0	0	70	0	0	0	0	0	0	0	63	0	0	0	0	460	6976	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	436	549	0	2292	0	51	0	1810	901	4249	1434	0	25	0	0	0	0	0	7946	0	0	0	0	48	153	0	31	62	0	0	0	0	0	0	2421	261	0	0	1945	672	0	0	0
