"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"SRR13060060",1,"Rarefaction",0,1,0.999999999999999,1,0.469624287942188,0.460552067561192,0.478696508323183
"SRR13060060",836,"Rarefaction",0,28.9511582794706,28.3434018997972,29.558914659144,0.994194005737258,0.993785553232859,0.994602458241657
"SRR13060060",1672,"Rarefaction",0,31.8280767295022,31.1313121106472,32.5248413483571,0.997941987321802,0.997712553748975,0.998171420894629
"SRR13060060",2508,"Rarefaction",0,33.0481833095461,32.3464089263304,33.7499576927618,0.998974795987532,0.998795604411451,0.999153987563613
"SRR13060060",3344,"Rarefaction",0,33.7025900405677,33.0159722008118,34.3892078803237,0.999404932873417,0.999261866798714,0.99954799894812
"SRR13060060",4180,"Rarefaction",0,34.10268165769,33.4374374090516,34.7679259063284,0.99961587091954,0.99949542710581,0.999736314733269
"SRR13060060",5016,"Rarefaction",0,34.3700961579336,33.7276947016768,35.0124976141903,0.999734546892056,0.999629427845123,0.999839665938988
"SRR13060060",5851,"Rarefaction",0,34.5582569209328,33.9378773670823,35.1786364747832,0.999809835308385,0.999716773247917,0.999902897368853
"SRR13060060",6687,"Rarefaction",0,34.6942175341989,34.0941001676924,35.2943349007054,0.999862049017284,0.999779015433943,0.999945082600625
"SRR13060060",7523,"Rarefaction",0,34.7928676395245,34.2108607883261,35.3748744907229,0.999900091686136,0.999825188174701,0.999974995197571
"SRR13060060",8359,"Rarefaction",0,34.8639613103957,34.2977463620413,35.4301762587501,0.999928516637628,0.999859903717865,0.999997129557391
"SRR13060060",9195,"Rarefaction",0,34.9143497114,34.3614390373539,35.4672603854461,0.999949961677923,0.999886045236466,1
"SRR13060060",10031,"Rarefaction",0,34.9491094266727,34.406817092076,35.4914017612695,0.999966131806161,0.999905698022749,1
"SRR13060060",10866,"Rarefaction",0,34.9721087025119,34.4375705562591,35.5066468487647,0.999978191113913,0.999920399372851,1
"SRR13060060",11702,"Rarefaction",0,34.9864566752428,34.4567518954575,35.5161614550281,0.999987007700726,0.999931291120201,1
"SRR13060060",12538,"Rarefaction",0,34.9945750440446,34.4668276171318,35.5223224709574,0.999993179159093,0.999939087898449,1
"SRR13060060",13374,"Rarefaction",0,34.9984734794492,34.4699834311851,35.5269635277133,0.999997168180621,0.999944232786824,1
"SRR13060060",14210,"Rarefaction",0,34.999818925364,34.4681294764247,35.5315083743033,0.999999339520677,0.999946958938186,1
"SRR13060060",15046,"Rarefaction",0,35,34.4628844968938,35.5371155031061,1,0.999947368575631,1
"SRR13060060",15047,"Observed",0,35,34.4628767393363,35.5371232606637,1,0.999968755976259,1
"SRR13060060",15048,"Extrapolation",0,35,34.462874410718,35.537125589282,1,0.999968760128841,1
